Endpoint,group,country,vs_type,N,R,HR,LCL,UCL
Thrombosis inc CVT SVT,throm_cvst,Scotland,uv,26843,2449,1,1,1
Thrombosis inc CVT SVT,throm_cvst,Scotland,AZ_v1_0:6,952,92,0.9587812738354271,0.7397863180337427,1.2426041258788938
Thrombosis inc CVT SVT,throm_cvst,Scotland,AZ_v1_7:13,1074,101,0.9135121264723917,0.7069395021594895,1.1804467039441828
Thrombosis inc CVT SVT,throm_cvst,Scotland,AZ_v1_14:20,1131,130,1.2274018548265941,0.9625311225177221,1.5651601054635256
Thrombosis inc CVT SVT,throm_cvst,Scotland,AZ_v1_21:27,953,100,1.0996837461085303,0.8380878970449644,1.4429325918190772
Thrombosis inc CVT SVT,throm_cvst,Scotland,AZ_v1_28+,3616,381,1.0775843118512096,0.8817568349246838,1.3169026914852653
Thrombosis inc CVT SVT,throm_cvst,Scotland,AZ_v2,366,31,0.7568748569426997,0.45829927685119626,1.2499682587499088
Thrombosis inc CVT SVT,throm_cvst,Scotland,PB_v1_0:6,460,26,0.40543115358789156,0.25676455213220123,0.6401756743079414
Thrombosis inc CVT SVT,throm_cvst,Scotland,PB_v1_7:13,589,38,0.45298219203469525,0.3035194785306235,0.6760451332280958
Thrombosis inc CVT SVT,throm_cvst,Scotland,PB_v1_14:20,547,37,0.5279253816196028,0.3554849583311295,0.784014068743221
Thrombosis inc CVT SVT,throm_cvst,Scotland,PB_v1_21:27,448,36,0.6515816748792377,0.42613843750222796,0.9962928515131023
Thrombosis inc CVT SVT,throm_cvst,Scotland,PB_v1_28+,2299,203,0.731836499225623,0.5953453222825594,0.8996201726174294
Thrombosis inc CVT SVT,throm_cvst,Scotland,PB_v2,684,57,0.5216669568237956,0.3737978081966786,0.7280310581666429
Thrombosis inc CVT SVT,throm_cvst,Scotland,AZ_v1_0:27,4110,423,1.0349170778266392,0.8855036172216323,1.209541482549536
Thrombosis inc CVT SVT,throm_cvst,Scotland,PB_v1_0:27,2044,137,0.49868206029029805,0.3985262907664009,0.6240085108993332
Thrombosis excl CVT SVT,any_throm,Scotland,uv,26695,2437,1,1,1
Thrombosis excl CVT SVT,any_throm,Scotland,AZ_v1_0:6,951,92,0.9554851027401033,0.7376580060270584,1.237635562955955
Thrombosis excl CVT SVT,any_throm,Scotland,AZ_v1_7:13,1011,99,0.9948719393362314,0.7694702426700275,1.286300783048056
Thrombosis excl CVT SVT,any_throm,Scotland,AZ_v1_14:20,1111,129,1.3279771710017945,1.0392862269051564,1.696860134434232
Thrombosis excl CVT SVT,any_throm,Scotland,AZ_v1_21:27,910,100,1.216120000589562,0.9254628582861423,1.5980628964114334
Thrombosis excl CVT SVT,any_throm,Scotland,AZ_v1_28+,3630,381,1.0875422756293078,0.8924562441383301,1.3252730417309377
Thrombosis excl CVT SVT,any_throm,Scotland,AZ_v2,369,31,0.7942042166094497,0.48616472964728896,1.29742101640702
Thrombosis excl CVT SVT,any_throm,Scotland,PB_v1_0:6,468,26,0.4020852504970664,0.25597511802841566,0.6315947812136234
Thrombosis excl CVT SVT,any_throm,Scotland,PB_v1_7:13,590,38,0.44984087308270065,0.300983500996445,0.6723186168872308
Thrombosis excl CVT SVT,any_throm,Scotland,PB_v1_14:20,565,37,0.4820113577902349,0.3204420346813888,0.7250451685272606
Thrombosis excl CVT SVT,any_throm,Scotland,PB_v1_21:27,460,36,0.6369176646022179,0.4163070801731624,0.9744348121910582
Thrombosis excl CVT SVT,any_throm,Scotland,PB_v1_28+,2316,202,0.7304297681393519,0.5959780638115638,0.8952135633515499
Thrombosis excl CVT SVT,any_throm,Scotland,PB_v2,712,57,0.4949670953080758,0.3573940582572911,0.6854966381711406
Thrombosis excl CVT SVT,any_throm,Scotland,AZ_v1_0:27,3983,420,1.1031101807480077,0.9429618463447865,1.2904573770262278
Thrombosis excl CVT SVT,any_throm,Scotland,PB_v1_0:27,2083,137,0.48434148303059266,0.38637216116817025,0.6071521081514177
Deep Vein Thrombosis,dv_throm,Scotland,uv,10940,968,1,1,1
Deep Vein Thrombosis,dv_throm,Scotland,AZ_v1_0:6,379,41,1.20865568904812,0.8004334251478907,1.825071928247467
Deep Vein Thrombosis,dv_throm,Scotland,AZ_v1_7:13,422,42,1.0861119377112336,0.731570387362158,1.6124752472449102
Deep Vein Thrombosis,dv_throm,Scotland,AZ_v1_14:20,484,56,1.3969179071087865,0.9722231708826686,2.0071313846897523
Deep Vein Thrombosis,dv_throm,Scotland,AZ_v1_21:27,360,39,1.1553559628391836,0.7506014022215167,1.778370513187662
Deep Vein Thrombosis,dv_throm,Scotland,AZ_v1_28+,1583,160,1.0360303999533984,0.7624369715454486,1.4078002899727113
Deep Vein Thrombosis,dv_throm,Scotland,AZ_v2,161,18,1.3177525015922893,0.6719579383039175,2.584196951130227
Deep Vein Thrombosis,dv_throm,Scotland,PB_v1_0:6,153,11,0.575265068149906,0.28410703157962197,1.164807139033346
Deep Vein Thrombosis,dv_throm,Scotland,PB_v1_7:13,185,16,0.6913782009092967,0.36464701758781026,1.3108672048235475
Deep Vein Thrombosis,dv_throm,Scotland,PB_v1_14:20,226,20,0.8377691031648529,0.4729366790473911,1.4840402559415602
Deep Vein Thrombosis,dv_throm,Scotland,PB_v1_21:27,170,19,1.0891423332675083,0.6038457873750586,1.964460209736637
Deep Vein Thrombosis,dv_throm,Scotland,PB_v1_28+,933,85,0.875429380435479,0.6403812199099677,1.1967505859047414
Deep Vein Thrombosis,dv_throm,Scotland,PB_v2,300,25,0.5483395546916762,0.33370267546078203,0.9010304362237646
Deep Vein Thrombosis,dv_throm,Scotland,AZ_v1_0:27,1645,178,1.2108134087059454,0.9527337228489484,1.5388025799256289
Deep Vein Thrombosis,dv_throm,Scotland,PB_v1_0:27,734,66,0.792620756582958,0.5648267477722465,1.1122838396801056
Pulmonary Embolism,pulm_emb,Scotland,uv,14414,1353,1,1,1
Pulmonary Embolism,pulm_emb,Scotland,AZ_v1_0:6,542,44,0.6397237729652498,0.44438664378162573,0.9209244054103496
Pulmonary Embolism,pulm_emb,Scotland,AZ_v1_7:13,614,56,0.786465161092741,0.5549074563782656,1.114649735740796
Pulmonary Embolism,pulm_emb,Scotland,AZ_v1_14:20,660,70,0.911760568911119,0.6511043971709439,1.2767650451036228
Pulmonary Embolism,pulm_emb,Scotland,AZ_v1_21:27,535,51,0.831107459207619,0.5712030860141634,1.209271493210064
Pulmonary Embolism,pulm_emb,Scotland,AZ_v1_28+,1736,188,1.0765430446011786,0.8137578065003819,1.4241890125310044
Pulmonary Embolism,pulm_emb,Scotland,AZ_v2,150,9,0.42760176606944134,0.1852975400066197,0.9867549797972127
Pulmonary Embolism,pulm_emb,Scotland,PB_v1_0:6,287,12,0.24594052329937907,0.1274573127478974,0.4745646969696547
Pulmonary Embolism,pulm_emb,Scotland,PB_v1_7:13,332,20,0.34741423718339487,0.20036493991829926,0.6023840909838587
Pulmonary Embolism,pulm_emb,Scotland,PB_v1_14:20,333,19,0.3252029586687068,0.18537825719587217,0.5704928179097992
Pulmonary Embolism,pulm_emb,Scotland,PB_v1_21:27,227,17,0.5698275038915741,0.3081111721972953,1.0538513805769498
Pulmonary Embolism,pulm_emb,Scotland,PB_v1_28+,1214,107,0.6422384146591058,0.4868373573877638,0.8472443106606358
Pulmonary Embolism,pulm_emb,Scotland,PB_v2,362,28,0.3981200957252966,0.24954109722329362,0.6351643572300685
Pulmonary Embolism,pulm_emb,Scotland,AZ_v1_0:27,2351,221,0.7766823488136216,0.6251570169933286,0.9649343357927657
Pulmonary Embolism,pulm_emb,Scotland,PB_v1_0:27,1179,68,0.3493643999822574,0.25549071648420585,0.4777296242092932
Arterial Thrombosis,Arterial_thromb,Scotland,uv,67599,5937,1,1,1
Arterial Thrombosis,Arterial_thromb,Scotland,AZ_v1_0:6,3211,303,1.0805848448233115,0.9324270757412841,1.2522841059002088
Arterial Thrombosis,Arterial_thromb,Scotland,AZ_v1_7:13,3333,344,1.2496477945083801,1.0810831088446728,1.4444954301325859
Arterial Thrombosis,Arterial_thromb,Scotland,AZ_v1_14:20,3352,350,1.2586769388422114,1.0854698883900722,1.4595224181878745
Arterial Thrombosis,Arterial_thromb,Scotland,AZ_v1_21:27,3261,351,1.3711660876445393,1.1780674798074697,1.5959157451775976
Arterial Thrombosis,Arterial_thromb,Scotland,AZ_v1_28+,13925,1477,1.3349187263002502,1.1903034130266046,1.497104004176499
Arterial Thrombosis,Arterial_thromb,Scotland,AZ_v2,1375,151,1.482839090645999,1.1581329441940247,1.8985832151403519
Arterial Thrombosis,Arterial_thromb,Scotland,PB_v1_0:6,1567,141,0.8980518326536414,0.7175002423024215,1.1240373822656229
Arterial Thrombosis,Arterial_thromb,Scotland,PB_v1_7:13,1720,157,0.9070025221070521,0.7316382864763957,1.1243992971861707
Arterial Thrombosis,Arterial_thromb,Scotland,PB_v1_14:20,1489,128,0.8519563301317559,0.6758963494844669,1.0738770656257999
Arterial Thrombosis,Arterial_thromb,Scotland,PB_v1_21:27,1637,155,1.0104373969840832,0.8123470880138149,1.2568318989365377
Arterial Thrombosis,Arterial_thromb,Scotland,PB_v1_28+,8179,768,1.0434372377084329,0.9250206733001761,1.1770129041032724
Arterial Thrombosis,Arterial_thromb,Scotland,PB_v2,2018,168,0.7561785691547958,0.6200161098295893,0.922243824609903
Arterial Thrombosis,Arterial_thromb,Scotland,AZ_v1_0:27,13157,1348,1.224900252978883,1.115718228979496,1.3447666182886255
Arterial Thrombosis,Arterial_thromb,Scotland,PB_v1_0:27,6413,581,0.9160399099791139,0.8106158484515553,1.0351748220534474
"Haemorrhage, excluding GI, GU",any_haem,Scotland,uv,8972,785,1,1,1
"Haemorrhage, excluding GI, GU",any_haem,Scotland,AZ_v1_0:6,337,32,1.0844176333989324,0.6812530351260595,1.7261744799550736
"Haemorrhage, excluding GI, GU",any_haem,Scotland,AZ_v1_7:13,350,44,1.8653665178796668,1.2257664219332676,2.838707427258884
"Haemorrhage, excluding GI, GU",any_haem,Scotland,AZ_v1_14:20,324,38,1.6728706211120106,1.066443166731015,2.6241399469584095
"Haemorrhage, excluding GI, GU",any_haem,Scotland,AZ_v1_21:27,314,35,1.42488359176358,0.9007129151801017,2.254095856581688
"Haemorrhage, excluding GI, GU",any_haem,Scotland,AZ_v1_28+,1316,129,1.0989232763096652,0.7692829101953117,1.5698156701655641
"Haemorrhage, excluding GI, GU",any_haem,Scotland,AZ_v2,163,11,0.5877537827973583,0.25067627377949053,1.3780901717746379
"Haemorrhage, excluding GI, GU",any_haem,Scotland,PB_v1_0:6,132,16,1.0989337321483776,0.5854847799076623,2.0626588241013257
"Haemorrhage, excluding GI, GU",any_haem,Scotland,PB_v1_7:13,157,13,0.763175593168884,0.38941086303908357,1.4956875662459912
"Haemorrhage, excluding GI, GU",any_haem,Scotland,PB_v1_14:20,189,21,1.2697051668929342,0.7112266860692913,2.266719236512942
"Haemorrhage, excluding GI, GU",any_haem,Scotland,PB_v1_21:27,169,11,0.6019318490132979,0.2963386523879487,1.2226618024240645
"Haemorrhage, excluding GI, GU",any_haem,Scotland,PB_v1_28+,762,76,1.0721474733861671,0.7633035514321156,1.5059542203513154
"Haemorrhage, excluding GI, GU",any_haem,Scotland,PB_v2,263,26,0.7687527038909977,0.4675995683093574,1.263860704312574
"Haemorrhage, excluding GI, GU",any_haem,Scotland,AZ_v1_0:27,1325,149,1.4838234558439523,1.1233984091638405,1.9598853177578082
"Haemorrhage, excluding GI, GU",any_haem,Scotland,PB_v1_0:27,647,61,0.9150914895183079,0.6443114722880654,1.2996702219426652
Cerebral Haemorrhage (cerebral+sub arachnoid),cerebral_haem,Scotland,uv,4369,396,1,1,1
Cerebral Haemorrhage (cerebral+sub arachnoid),cerebral_haem,Scotland,AZ_v1_0:6,144,16,1.0528193813707847,0.5443740502512414,2.0361526220406647
Cerebral Haemorrhage (cerebral+sub arachnoid),cerebral_haem,Scotland,AZ_v1_7:13,148,17,1.3526199094146307,0.7185438603428627,2.5462337378706916
Cerebral Haemorrhage (cerebral+sub arachnoid),cerebral_haem,Scotland,AZ_v1_14:20,122,18,1.7627939501065992,0.9378560989798033,3.3133468065225498
Cerebral Haemorrhage (cerebral+sub arachnoid),cerebral_haem,Scotland,AZ_v1_21:27,145,15,1.0462949073099894,0.5311520696579697,2.061053878162919
Cerebral Haemorrhage (cerebral+sub arachnoid),cerebral_haem,Scotland,AZ_v1_28+,682,68,0.8442492416955947,0.5080829066875303,1.402835585929149
Cerebral Haemorrhage (cerebral+sub arachnoid),cerebral_haem,Scotland,AZ_v2,101,5,0.28914324475273945,0.08762163194826048,0.9541458442078508
Cerebral Haemorrhage (cerebral+sub arachnoid),cerebral_haem,Scotland,PB_v1_0:6,49,4,0.3633012802351065,0.10108203757519604,1.3057495019555796
Cerebral Haemorrhage (cerebral+sub arachnoid),cerebral_haem,Scotland,PB_v1_7:13,74,7,0.7471460278269928,0.2749716054543352,2.0301266597156293
