" ","England - RCGP"," ","Scotland"," ","Wales"," "
"Time period","Number of controls","Number of cases","Number of controls","Number of cases","Number of controls","Number of cases"
"Haemorrhage, excluding GI, GU","","","","","",""
"Day 0-6","481","46","337","32","303","30"
"Day 7-13","560","49","350","44","263","26"
"Day 14-20","501","46","324","38","292","27"
"Day 21-27","464","41","314","35","226","24"
"Day 0-27","2,006","182","1,325","149","1,084","107"
"Day 28+","2,209","243","1,316","129","796","79"
"ITP - Specific","","","","","",""
"Day 0-6","20","<5","34","5","17","<5"
"Day 7-13","40","<5","56","7","7","<5"
"Day 14-20","20","<5","35","7","5","0"
"Day 21-27","12","<5","25","<5","<5","0"
"Day 0-27","92","13","150","23","32","<5"
"Day 28+","38","<5","49","<5","39","7"
"Thrombocytopenia - ITP - General","","","","","",""
"Day 0-6","163","19","101","18","19","<5"
"Day 7-13","203","16","127","8","15","<5"
"Day 14-20","183","24","95","10","16","<5"
"Day 21-27","169","13","91","10","16","<5"
"Day 0-27","718","72","414","46","66","7"
"Day 28+","661","71","407","48","8","<5"
"Thrombocytopenia - ITP - General and Specific","","","","","",""
"Day 0-6","173","22","144","20","36","<5"
"Day 7-13","197","20","162","15","22","<5"
"Day 14-20","205","28","131","16","21","<5"
"Day 21-27","155","15","120","14","19","<5"
"Day 0-27","730","85","557","65","98","9"
"Day 28+","680","75","437","51","47","8"
"Thrombosis excluding CVT, SVT","","","","","",""
"Day 0-6","1,164","80","951","92","672","55"
"Day 7-13","1,244","108","1,011","99","655","65"
"Day 14-20","1,162","121","1,111","129","575","59"
"Day 21-27","1,065","121","910","100","493","34"
"Day 0-27","4,635","430","3,983","420","2,395","213"
"Day 28+","4,539","445","3,630","381","1,806","178"
"Thrombosis including CVT, SVT","","","","","",""
"Day 0-6","1,154","82","952","92","674","55"
"Day 7-13","1,260","112","1,074","101","656","66"
"Day 14-20","1,207","122","1,131","130","575","59"
"Day 21-27","1,062","123","953","100","493","34"
"Day 0-27","4,683","439","4,110","423","2,398","214"
"Day 28+","4,455","447","3,616","381","1,806","178"
