" ","England - RCGP"," ","Scotland"," ","Wales"," "
"Time period","Number of controls","Number of cases","Number of controls","Number of cases","Number of controls","Number of cases"
"Arterial thromboembolic events","","","","","",""
"uv","70,269","6340 (9.0%)","67,599","5937 (8.8%)","20,772","1911 (9.2%)"
"Day 0-6","2,823","250 (8.9%)","1,457","125 (8.6%)","504","31 (6.2%)"
"Day 7-13","2,699","262 (9.7%)","1,274","110 (8.6%)","446","35 (7.8%)"
"Day 14-20","2,871","287 (10.0%)","676","64 (9.5%)","412","34 (8.3%)"
"Day 21-27","3,060","298 (9.7%)","386","32 (8.3%)","483","37 (7.7%)"
"Day 28+","23,734","2205 (9.3%)","895","92 (10.3%)","1,034","107 (10.3%)"
"Day 0-27","11,453","1097 (9.6%)","3,793","331 (8.7%)","1,845","137 (7.4%)"
"Haemorrhagic events","","","","","",""
"uv","9,568","834 (8.7%)","8,972","785 (8.7%)","6,396","576 (9.0%)"
"Day 0-6","272","24 (8.8%)","132","16 (12.1%)","144","15 (10.4%)"
"Day 7-13","344","29 (8.4%)","157","13 (8.3%)","168","16 (9.5%)"
"Day 14-20","280","28 (10.0%)","189","21 (11.1%)","160","12 (7.5%)"
"Day 21-27","290","31 (10.7%)","169","11 (6.5%)","118","10 (8.5%)"
"Day 28+","2,769","268 (9.7%)","762","76 (10.0%)","306","32 (10.5%)"
"Day 0-27","1,186","112 (9.4%)","647","61 (9.4%)","590","53 (9.0%)"
"Idiopathic Thrombocytopenic Purpura","","","","","",""
"uv","416","38 (9.1%)","702","58 (8.3%)","292","28 (9.6%)"
"Day 0-6","14","<5 (<35.7%)","<5","0 (0.0%)","24","<5 (<20.8%)"
"Day 7-13","24","0 (0.0%)","15","<5 (<33.3%)","<5","0 (0.0%)"
"Day 14-20","10","0 (0.0%)","18","0 (0.0%)","<5","0 (0.0%)"
"Day 21-27","9","0 (0.0%)","11","<5 (<45.5%)","<5","0 (0.0%)"
"Day 28+","57","6 (10.5%)","49","5 (10.2%)","<5","0 (0.0%)"
"Day 0-27","57","<5 (<8.8%)","45","<5 (<11.1%)","30","<5 (<16.7%)"
"Thrombocytopenic events (excluding ITP)","","","","","",""
"uv","3749","337 (9.0%)","2343","207 (8.8%)","301","28 (9.3%)"
"Day 0-6","101","6 (5.9%)","43","<5 (<11.6%)","9","<5 (<55.6%)"
"Day 7-13","101","<5 (<5.0%)","51","7 (13.7%)","<5","0 (0.0%)"
"Day 14-20","95","9 (9.5%)","34","0 (0.0%)","5","0 (0.0%)"
"Day 21-27","109","11 (10.1%)","45","<5 (<11.1%)",NA,"NA (NA%)"
"Day 28+","804","81 (10.1%)","250","21 (8.4%)","<5","0 (0.0%)"
"Day 0-27","406","28 (6.9%)","173","13 (7.5%)","18","<5 (<27.8%)"
"Venous thromboembolic events","","","","","",""
"uv","21,093","1972 (9.3%)","26,843","2449 (9.1%)","13,926","1292 (9.3%)"
"Day 0-6","600","52 (8.7%)","460","26 (5.7%)","323","19 (5.9%)"
"Day 7-13","679","55 (8.1%)","589","38 (6.5%)","270","28 (10.4%)"
"Day 14-20","806","74 (9.2%)","547","37 (6.8%)","290","25 (8.6%)"
"Day 21-27","784","69 (8.8%)","448","36 (8.0%)","249","18 (7.2%)"
"Day 28+","5,296","465 (8.8%)","2,299","203 (8.8%)","676","71 (10.5%)"
"Day 0-27","2,869","250 (8.7%)","2,044","137 (6.7%)","1,132","90 (8.0%)"
