" ","England - RCGP"," ","Scotland"," ","Wales"," "
"Time period","Number of cases","Number of controls","Number of cases","Number of controls","Number of cases","Number of controls"
"Arterial thromboembolic events","","","","","",""
"Day 0-6","289","3,402","320","3,401","110","1,229"
"Day 7-13","284","3,693","372","3,602","107","1,219"
"Day 14-20","310","3,416","387","3,715","116","1,116"
"Day 21-27","281","3,147","417","3,975","91","1,030"
"Day 0-27","1,164","13,658","1,496","14,693","424","4,594"
"Day 28+","1,439","15,581","2,401","22,443","410","4,138"
"Haemorrhagic events","","","","","",""
"Day 0-6","37","398","30","304","32","294"
"Day 7-13","38","430","38","311","29","270"
"Day 14-20","42","470","39","319","29","353"
"Day 21-27","33","429","36","300","25","257"
"Day 0-27","150","1,727","143","1,234","115","1,174"
"Day 28+","193","1,877","226","2,110","94","969"
"Idiopathic Thrombocytopenic Purpura","","","","","",""
"Day 0-6","<5","21","5","31","0","8"
"Day 7-13","<5","33","7","52","<5","<5"
"Day 14-20","<5","14","7","43","0","<5"
"Day 21-27","0","9","5","50","0","<5"
"Day 0-27","9","77","24","176","<5","17"
"Day 28+","<5","31","17","117","6","36"
"Thrombocytopenic events (excluding ITP)","","","","","",""
"Day 0-6","13","115","18","111","0","9"
"Day 7-13","14","166","9","146","<5","22"
"Day 14-20","15","144","15","132","<5","22"
"Day 21-27","10","137","12","122","<5","17"
"Day 0-27","52","562","54","511","6","70"
"Day 28+","55","562","92","792","<5","21"
"Venous thromboembolic events","","","","","",""
"Day 0-6","64","894","98","1,062","56","742"
"Day 7-13","79","1,022","111","1,248","70","656"
"Day 14-20","97","991","144","1,295","62","622"
"Day 21-27","92","866","111","1,142","36","502"
"Day 0-27","332","3,773","464","4,747","224","2,522"
"Day 28+","344","3,762","718","6,517","193","2,043"
